policy,seeds,episodes_mean,episodes_std,recovered_inr_mean,recovered_inr_std,recovery_rate_mean,recovery_rate_std,revenue_capture_rate_mean,revenue_capture_rate_std,wasted_attempts_mean,wasted_attempts_std,attempts_per_episode_mean,attempts_per_episode_std,issuer_risk_exposure_mean,issuer_risk_exposure_std,guard_interventions_mean,guard_interventions_std,mean_time_to_recovery_h_mean,mean_time_to_recovery_h_std,correct_abandon_rate_mean,correct_abandon_rate_std,premature_abandon_rate_mean,premature_abandon_rate_std,mean_reward_mean,mean_reward_std
static_schedule,3,1000.0,0.0,536078.2133,53244.8272,0.3459,0.0259,0.367,0.0343,1426.0,41.1582,1.6933,0.0214,0.0,0.0,732.6667,19.9388,63.51,0.7279,0.3101,0.0087,0.6899,0.0087,0.0877,0.0266
static_with_switch,3,1000.0,0.0,880376.7167,65989.0449,0.583,0.0284,0.6034,0.0491,1445.6667,59.7848,1.8963,0.0386,0.0,0.0,397.3333,11.1156,49.7833,1.7269,0.4139,0.017,0.5861,0.017,0.325,0.0293
flat_dqn,3,1000.0,0.0,983638.9733,30473.6575,0.6727,0.0126,0.6737,0.0152,1763.3333,51.4479,2.2833,0.0431,0.0,0.0,916.0,25.9615,47.0867,2.0127,0.4731,0.0107,0.5269,0.0107,0.4054,0.0132
bdq,3,1000.0,0.0,956749.04,23087.4647,0.6637,0.0097,0.6553,0.0062,1633.0,51.329,2.146,0.0478,0.0,0.0,751.6667,13.0213,59.3067,3.8431,0.4662,0.0084,0.5338,0.0084,0.396,0.0098
